id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.5,2,3,2,3,2,0,0,FALSE
2,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,1,2,3,2,3,1,0,0,FALSE
3,0,1,1,0,0,0,1,1,0,1,1,2,1,0,0,0,0,0,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.5,3,6,3,6,2,0,0,FALSE
4,8,17,11,32,3,12,13,0.16,6,10,0,43,4,0,48,0,10,0,49.82,25.34,31983.69,0.42,212,0.04,1776.87,1262.29,0,3,6,32,0.14,75,137,37,25,93,42.17,80,FALSE
5,4,7,1,1,8,12,4,0.17,6,1,0,20,1,0,23,0,4,1,25.56,20,10223.25,0.17,113,0.05,567.96,511.16,0,3,6,18,0.11,52,61,13,10,38,28.13,24,FALSE
6,12,1,2,13,9,0,1,0.05,0,1,1,10,1,0,6,1,0,0,69.36,8,4439.07,0.18,110,0.13,246.61,554.88,1,0,0,11,0.02,50,60,25,8,42,78.57,19,FALSE
7,2,3,1,5,0,4,2,0.2,2,2,1,6,1,0,5,0,0,0,13.96,6,502.57,0.03,22,0.17,27.92,83.76,0,1,2,6,0.14,9,13,6,8,14,50,10,FALSE
8,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,7.75,2,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,1,2,4,2,4,1,0,0,FALSE
9,0,1,2,0,0,0,1,0.17,0,1,1,3,1,0,6,0,1,1,17.51,5,437.85,0.03,23,0.2,24.32,87.57,1,0,0,4,0.13,10,13,7,7,8,0,6,FALSE
10,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,1,1,3,1,3,1,0,0,FALSE
